,建設または購入,補修,貸借
滅失または流失,2000000,1000000,500000
全壊,2000000,1000000,500000
解体,2000000,1000000,500000
長期避難,2000000,1000000,500000
大規模半壊,2000000,1000000,500000
中規模半壊,1000000,500000,250000
