,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,45320,43280,41240,39210,37160,35130
2,50160,47910,45640,43390,41130,38870
3,55610,53110,50600,48110,45600,43100
4,57560,54970,52390,49780,47200,44610
5,58010,55430,52800,50210,47570,44990
