,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
0~2,4290,4140,3690,0,0,0
3~5,2200,2140,1770,0,0,0
6~11,0,0,0,0,0,0
12~17,0,0,0,0,0,0
18~19,0,0,0,0,0,0
20~40,0,0,0,0,0,0
41~59,0,0,0,0,600,420
60~64,570,630,280,1190,1400,410
65~69,570,630,280,1190,1420,1250
70~74,110,0,0,410,180,0
75~,110,0,0,420,890,430
