,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
0~2,0,0,0,0,0,0
3~5,0,0,0,0,0,0
6~11,0,0,0,0,0,0
12~17,0,0,0,0,0,0
18~19,0,0,0,0,0,0
20~40,0,0,0,0,0,0
41~59,1070,540,0,0,0,0
60~64,940,460,0,0,0,0
65~69,2280,1720,570,0,0,0
70~74,0,0,0,0,0,0
75~,1270,790,0,0,0,0
