,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,28890,27690,27690,27690,27690,27690
2,42420,40660,40660,40660,40660,40660
3,47060,45110,45110,45110,45110,45110
4,49080,47040,47040,47040,47040,47040
5,49110,47070,47070,47070,47070,47070
