,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,6130,5850,5580,5300,5020,4750
2,7940,7580,7220,6860,6520,6160
3,9470,9050,8620,8200,7770,7340
4,10740,10250,9770,9280,8810,8320
5,11150,10660,10140,9650,9150,8660
6,11560,11070,10510,10020,9480,9000
7,11960,11480,10880,10390,9820,9330
8,12370,11880,11250,10760,10160,9670
9,12780,12290,11620,11130,10500,10010
10~,410,410,370,370,340,340
