,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,8790,8390,8000,7600,7200,6810
2,11380,10870,10350,9840,9320,8820
3,13580,12970,12350,11750,11140,10520
4,15400,14700,14020,13320,12630,11930
5,15990,15290,14550,13860,13110,12410
6,16580,15880,15090,14400,13590,12890
7,17160,16470,15630,14930,14070,13370
8,17750,17060,16170,15470,14540,13850
9,18340,17640,16710,16010,15020,14330
10~,590,590,540,540,480,480
