,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,17340,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10~,,,,,,
