,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,3080,2940,2800,2660,2520,2380
2,3980,3810,3630,3450,3270,3090
3,4750,4540,4320,4110,3900,3690
4,5390,5150,4900,4660,4420,4170
5,5590,5350,5080,4840,4580,4330
6,5790,5550,5260,5020,4740,4490
7,5990,5750,5440,5200,4900,4650
8,6190,5950,5620,5380,5060,4810
9,6390,6150,5800,5560,5220,4970
10~,200,200,180,180,160,160
