,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,24260,23160,22080,20980,19890,18800
2,31410,30000,28580,27170,25750,24350
3,37490,35800,34110,32430,30740,29050
4,42510,40600,38680,36770,34860,32940
5,44140,42230,40170,38250,36190,34280
6,45780,43860,41650,39740,37530,35610
7,47410,45500,43140,41220,38860,36950
8,49040,47130,44620,42710,40200,38280
9,50680,48760,46100,44190,41530,39620
10~,1630,1630,1480,1480,1330,1330
