,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
1,13500,12890,12280,11680,11070,10460
2,22010,21010,20020,19040,18040,17050
3,22680,21660,20630,19620,18600,17570
4,25520,24360,23210,22080,20920,19770
5,26600,25390,24190,23010,21810,20610
6,30240,28870,27510,26160,24800,23430
7,32130,30680,29230,27800,26350,24890
8,34020,32480,30950,29430,27900,26360
9,35640,34030,32420,30840,29220,27610
10~,1620,1550,1470,1410,1320,1250
