,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
0~2,3330,3330,3200,3200,2900,0
3~5,3330,3330,3200,3200,2900,2900
6~11,3330,3330,3200,3200,2900,2900
12~14,3330,3330,3200,3200,2900,2900
15~17,0,0,0,0,0,0
18~19,3330,3330,3200,3200,2900,2900
