,1級地-1,1級地-2,2級地-1,2級地-2,3級地-1,3級地-2
0~2,3330,3330,0,0,0,0
3~5,3330,3330,0,0,0,0
6~11,3330,3330,3200,0,0,0
12~14,3330,3330,3200,2780,1760,0
15~17,0,0,0,0,0,0
18~19,3330,3330,3200,2780,1760,0
